Beverage_category,Beverage,Beverage_prep,Calories,Sugars_g,Caffeine_g, Total_Fat_g,Trans_Fat_g,Saturated_Fat_(g), Sodium_mg, Total_Carbohydrates_(g) ,Cholesterol_mg, Dietary_Fibre_(g), Protein_g,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
Coffee,Brewed Coffee,Short,3,0,175,0.1,0,0,0,5,0,0,0.3,0%,0%,0%,0%
Coffee,Brewed Coffee,Tall,4,0,260,0.1,0,0,0,10,0,0,0.5,0%,0%,0%,0%
Coffee,Brewed Coffee,Grande,5,0,330,0.1,0,0,0,10,0,0,1,0%,0%,0%,0%
Coffee,Brewed Coffee,Venti,5,0,410,0.1,0,0,0,10,0,0,1,0%,0%,2%,0%
Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70,9,75,0.1,0.1,0,5,75,10,0,6,10%,0%,20%,0%
Classic Espresso Drinks,Caffè Latte,2% Milk,100,9,75,3.5,2,0.1,15,85,10,0,6,10%,0%,20%,0%
Classic Espresso Drinks,Caffè Latte,Soymilk,70,4,75,2.5,0.4,0,0,65,6,1,5,6%,0%,20%,8%
Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100,14,75,0.2,0.2,0,5,120,15,0,10,15%,0%,30%,0%
Classic Espresso Drinks,Caffè Latte,2% Milk,150,14,75,6,3,0.2,25,135,15,0,10,15%,0%,30%,0%
Classic Espresso Drinks,Caffè Latte,Soymilk,110,6,75,4.5,0.5,0,0,105,10,1,8,10%,0%,30%,15%
Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130,18,150,0.3,0.2,0,5,150,19,0,13,20%,0%,40%,0%
Classic Espresso Drinks,Caffè Latte,2% Milk,190,17,150,7,3.5,0.2,30,170,19,0,12,20%,2%,40%,0%
Classic Espresso Drinks,Caffè Latte,Soymilk,150,8,150,5,0.5,0,0,130,13,1,10,15%,0%,40%,15%
Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170,23,150,0.4,0.3,0,10,190,25,0,16,30%,0%,50%,0%
Classic Espresso Drinks,Caffè Latte,2% Milk,240,22,150,9,4.5,0.3,35,220,24,0,16,25%,2%,50%,0%
Classic Espresso Drinks,Caffè Latte,Soymilk,190,11,150,7,1,0,0,170,16,2,13,20%,0%,50%,25%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110,17,85,1.5,1,0,5,60,21,1,7,8%,0%,15%,10%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,130,17,85,4,2,0.1,10,70,21,1,6,8%,0%,15%,10%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,110,13,85,3.5,1,0,0,55,19,2,6,6%,0%,15%,20%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170,27,95,2,1,0,5,100,32,1,10,15%,0%,25%,20%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,200,26,95,6,3.5,0.1,20,115,32,1,10,15%,0%,25%,20%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,180,20,95,5,1.5,0,0,85,28,2,9,10%,0%,25%,30%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220,34,175,2.5,1.5,0,5,125,43,2,13,20%,0%,35%,25%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,260,34,175,8,4.5,0.2,25,140,42,2,13,15%,2%,35%,25%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,230,26,175,7,2,0,0,105,37,3,11,10%,0%,35%,40%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,280,44,180,3,2,0,10,160,54,2,17,25%,0%,45%,30%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,340,43,180,11,6,0.2,30,180,53,2,17,20%,2%,45%,30%
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,290,33,180,9,2.5,0,0,140,47,4,14,15%,0%,45%,50%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Short Nonfat Milk,100,18,75,0.1,0.1,0,5,70,19,0,6,10%,0%,20%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,130,17,75,3.5,1.5,0.1,15,80,18,0,6,10%,0%,20%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,110,13,75,2.5,0.3,0,0,60,16,1,5,6%,0%,20%,8%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall Nonfat Milk,150,27,75,0.2,0.1,0,5,110,28,0,9,15%,0%,30%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,200,27,75,5,2.5,0.2,20,125,28,0,9,15%,0%,30%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,160,20,75,4,0.5,0,0,95,23,1,7,10%,0%,30%,15%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande Nonfat Milk,200,35,150,0.3,0.2,0,5,140,37,0,12,20%,0%,35%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,250,35,150,6,3.5,0.2,25,150,37,0,12,20%,2%,35%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,210,26,150,5,0.5,0,0,120,31,1,9,10%,0%,35%,15%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti Nonfat Milk,250,45,150,0.3,0.2,0,10,180,47,0,15,25%,0%,50%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,320,44,150,9,4.5,0.3,35,200,46,0,15,25%,2%,45%,0%
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,270,33,150,7,1,0,0,160,39,2,12,15%,0%,45%,20%
Classic Espresso Drinks,Caffè Americano,Short,5,0,75,0,0,0,0,5,1,0,0.4,0%,0%,0%,0%
Classic Espresso Drinks,Caffè Americano,Tall,10,0,150,0,0,0,0,10,2,0,1,0%,0%,2%,0%
Classic Espresso Drinks,Caffè Americano,Grande,15,0,225,0,0,0,0,15,3,0,1,0%,0%,2%,0%
Classic Espresso Drinks,Caffè Americano,Venti,25,0,300,0,0,0,0,15,4,0,1,0%,0%,2%,0%
Classic Espresso Drinks,Cappuccino,Short Nonfat Milk,50,7,75,0.1,0.1,0,5,60,8,0,5,8%,0%,15%,0%
Classic Espresso Drinks,Cappuccino,2% Milk,80,7,75,3,1.5,0.1,10,70,8,0,5,8%,0%,15%,0%
Classic Espresso Drinks,Cappuccino,Soymilk,50,3,75,1.5,0.2,0,0,40,4,0,3,4%,0%,10%,6%
Classic Espresso Drinks,Cappuccino,Tall Nonfat Milk,60,8,75,0.1,0.1,0,5,70,9,0,6,10%,0%,20%,0%
Classic Espresso Drinks,Cappuccino,2% Milk,90,8,75,3.5,1.5,0.1,15,80,9,0,6,10%,0%,20%,0%
Classic Espresso Drinks,Cappuccino,Soymilk,70,4,75,3,0.4,0,0,65,7,1,5,6%,0%,20%,8%
Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,80,10,150,0.2,0.1,0,5,90,12,0,8,15%,0%,25%,0%
